pmid,is_cancer
24938562,-1
27583826,-1
27576782,-1
27597870,-1
27586963,-1
27600130,-1
27584156,-1
27576681,-1
27602298,-1
27586396,-1
27587740,-1
27587992,-1
27585462,-1
27590359,-1
27580825,-1
27596408,-1
27592155,-1
27599501,-1
27591377,-1
27595356,-1
28030793,-1
27576466,-1
27577618,-1
27581206,-1
27594405,-1
27588732,-1
27587888,-1
27596522,-1
27598731,-1
27602299,-1
27586907,-1
23867504,162
27595246,-1
27587543,-1
27581787,-1
27602526,-1
23313955,-1
27602025,-1
27598533,-1
27593989,-1
27598551,-1
27585918,-1
27596288,-1
24859829,-1
27590466,-1
24166148,-1
27593263,-1
27578150,-1
27591499,-1
27579207,-1
21367659,-1
27598110,-1
27586453,-1
27580388,-1
27599918,-1
27602194,-1
27578083,-1
27577500,-1
27595009,-1
27594904,-1
27579354,-1
27580986,-1
27591490,-1
27586434,-1
27585400,-1
27600319,-1
27593792,-1
27587515,-1
27593863,-1
27580616,-1
27598434,-1
27598891,-1
27597144,-1
27594564,-1
27591251,-1
27603689,-1
27585588,-1
27603562,-1
27594197,-1
27599798,-1
24608574,-1
27581452,-1
27583049,-1
27599852,-1
27592435,-1
27587372,-1
27585455,-1
27592291,-1
27602082,-1
27595332,-1
27581525,-1
27600464,-1
27581300,-1
27582524,-1
27596271,-1
27579913,-1
27586287,-1
27580622,-1
27578304,-1
19933982,-1
27583001,-1
27590486,-1
27580868,-1
27600294,-1
27585618,-1
27581559,-1
27588751,-1
27591020,-1
27596983,-1
27602796,-1
27595178,-1
27601114,-1
27585917,-1
27589911,-1
27589756,-1
27603121,-1
25505253,-1
27588938,-1
27603181,-1
27592484,-1
27587431,-1
27582561,-1
27597534,-1
27584904,-1
27401242,-1
23989949,-1
27598528,-1
27584902,-1
27595259,-1
27576456,-1
27580901,-1
27588537,-1
27583369,-1
24670642,-1
26386697,-1
27598336,-1
25263539,-1
27600457,-1
27585633,-1
28418267,-1
27595831,-1
27589065,-1
27600005,-1
23182986,-1
27581661,-1
25905001,-1
20033049,-1
27597120,-1
27577845,-1
27586523,-1
27593381,-1
27589782,-1
27597155,-1
27578114,-1
27586340,-1
27593573,-1
27576948,-1
27580850,-1
27876675,-1
27597985,-1
27579924,-1
27602153,-1
27593951,-1
27586145,-1
23898052,-1
27592839,-1
27587238,-1
24201813,-1
27587320,-1
27594317,-1
27585536,-1
27595896,-1
27590314,-1
27594803,162
27601149,-1
27587211,-1
19706758,-1
22623731,-1
27584066,-1
27581838,-1
27595743,-1
27586729,-1
27599595,-1
27601044,-1
27593448,-1
27599052,-1
27578097,-1
27578554,-1
27592699,-1
27579804,-1
27591002,-1
24375110,-1
27588156,-1
27581862,-1
27581937,-1
27601205,-1
27598402,-1
27601622,-1
27589570,-1
27590154,-1
27586285,-1
27581381,-1
27600154,-1
27579831,-1
27577362,-1
27583187,-1
27578286,-1
27603511,-1
27252418,-1
27594567,-1
27590009,-1
27597412,-1
27603427,-1
27580090,-1
27599504,-1
27587314,-1
27580464,-1
27595103,-1
27585719,-1
27599417,-1
27585752,-1
27578121,-1
27592713,-1
27587485,-1
27592836,-1
27579854,-1
27579232,-1
27591977,-1
27594950,-1
27576858,-1
27577525,-1
27601633,-1
27585884,-1
27598203,-1
27603147,-1
27578334,-1
27591021,-1
27589588,-1
27600813,-1
27602571,-1
27597721,-1
27585986,-1
27586388,-1
27595702,-1
27591317,-1
27577681,-1
27596630,-1
27591069,-1
27591950,-1
27595305,-1
27598313,-1
27583046,-1
27592823,-1
27599761,-1
27577765,-1
27580350,-1
27589823,-1
27598015,-1
27603193,-1
27585438,-1
27589813,-1
27604074,-1
24088382,-1
27585860,-1
27596539,-1
27302369,-1
27582018,-1
27595258,-1
27594571,-1
27599658,-1
27590266,-1
27591659,-1
27601917,-1
27601638,-1
27579053,-1
27576453,-1
27589868,-1
27172793,-1
27597816,-1
27594924,-1
27597415,-1
27582776,-1
27603811,-1
27590567,-1
27590734,-1
27598616,162
27586998,-1
27601444,-1
27589736,-1
27580762,-1
23645741,-1
19775480,-1
27587355,162
27576725,-1
27601646,-1
27595646,-1
27577947,-1
26894380,-1
27596129,-1
24277854,-1
27594734,-1
27598286,-1
27586065,-1
27590617,-1
27196756,-1
22033490,-1
27585751,-1
25970248,-1
27585806,-1
27594381,-1
27588521,-1
27586311,-1
27594995,-1
27594907,-1
27593590,-1
27601283,-1
27595695,-1
27594969,-1
27589021,-1
27593730,-1
21368834,-1
27580831,-1
27603025,-1
27578477,-1
27586821,-1
27576581,-1
27602550,-1
27589376,-1
27592354,-1
27600930,-1
27582336,-1
27595978,-1
21558407,-1
27588462,-1
27595928,-1
27601382,-1
27583998,-1
27577729,-1
19726788,-1
27588035,-1
27600616,-1
27603152,-1
27603177,-1
22504185,-1
27582436,-1
27603782,-1
21920589,-1
27583710,-1
21558396,-1
24173684,-1
27588367,-1
27587047,-1
27593537,-1
27582785,-1
27602921,-1
27591523,-1
25074459,-1
26307133,-1
27594824,-1
27594147,-1
26674738,-1
27581939,-1
27595976,-1
27586335,-1
27598588,-1
27578257,-1
27598431,-1
27585031,-1
27577684,-1
27590085,-1
27588161,-1
27591873,-1
27588231,-1
27589831,-1
27598212,-1
27581672,-1
27594086,-1
27581842,-1
27600105,-1
27585404,-1
27596103,-1
27577960,-1
27582514,-1
27597256,-1
27581703,-1
27584566,-1
27579526,-1
27594771,162
27596025,-1
27579718,-1
27600690,-1
27603048,-1
27590685,-1
27586942,-1
27592454,-1
27590439,-1
27580006,-1
25673644,-1
27593451,-1
27580423,-1
27589394,-1
27602803,-1
27596821,-1
280,-1
27587226,-1
27595884,-1
27597895,-1
27586931,-1
23632474,-1
27594351,-1
27585695,-1
27578396,-1
27596377,-1
27585665,-1
27599128,-1
27598280,-1
27602267,-1
27593817,-1
27602915,-1
27600704,-1
27595115,-1
27596298,-1
27598515,-1
27581870,-1
27598838,-1
27600835,-1
27595720,-1
27578322,-1
27601725,-1
27597273,-1
27595304,-1
27586739,-1
27592705,-1
27594200,-1
27582997,-1
27582728,-1
27598038,-1
27583305,-1
27586051,-1
27599870,-1
27585823,-1
27595816,-1
27594379,-1
21642865,-1
27590139,-1
27590130,-1
27594770,-1
27595937,-1
27589208,-1
25562111,-1
27591796,-1
27603595,162
27599987,-1
27586409,-1
27590860,-1
27592534,-1
27596287,-1
27578780,-1
27586391,-1
27595616,-1
27578446,-1
27579698,-1
2547513,-1
27598713,-1
27578437,-1
27600528,-1
27579770,-1
27594275,-1
27581439,-1
24571676,-1
27595578,-1
27587045,-1
27589152,-1
27599924,-1
27580254,-1
27585037,-1
27591287,-1
27578542,-1
27583569,-1
27591217,-1
27587511,-1
27601306,-1
27577323,-1
27578342,-1
27593341,-1
27586096,-1
28615362,-1
27582781,-1
27601076,-1
27582530,-1
27601618,-1
27588912,-1
27577742,-1
27579728,-1
27577790,-1
27598699,-1
27579615,-1
27591874,-1
20154675,-1
24081659,-1
27592689,-1
27578306,-1
27602014,-1
27593229,-1
27583181,-1
27597642,-1
27580258,-1
27584863,-1
27576704,-1
27591797,-1
27577600,-1
27601426,-1
27599637,-1
27600389,-1
27588533,-1
27596362,-1
27577245,-1
27602695,-1
27599775,-1
27601657,-1
27580368,-1
22440753,-1
27597401,-1
27602323,-1
27580049,-1
27583555,-1
27594531,-1
27581859,-1
27580606,-1
27596396,-1
27587579,-1
27593717,-1
27584702,-1
27595352,-1
27580297,-1
27600946,-1
27602904,-1
27602064,-1
27585894,-1
27601829,-1
27595673,-1
27603915,-1
27589836,-1
19934290,-1
27594719,-1
27602565,-1
27580467,-1
27595628,-1
27579611,-1
27590473,-1
27585830,-1
25300346,-1
27577791,-1
27601105,-1
27576335,-1
27597056,-1
27589544,-1
17085664,-1
27588408,-1
27597279,-1
27602703,-1
16487996,-1
27599814,-1
27581463,-1
426,-1
27588841,-1
27588726,-1
19509233,-1
27580967,-1
27583580,-1
27599973,-1
27580908,-1
27577458,-1
27577738,-1
27601590,162
27586818,-1
27597839,-1
27596021,-1
27584839,-1
27590424,-1
27579692,-1
27594908,-1
27603288,-1
27594302,-1
27585257,-1
27602732,-1
27596916,-1
27601388,-1
27601857,-1
27599086,-1
27590427,-1
27589819,-1
27578095,-1
27596496,-1
27592635,-1
27602919,-1
27583897,-1
27578911,-1
19667267,-1
22683710,-1
27580621,-1
27584041,-1
23456958,-1
27594794,-1
27585640,-1
27597795,-1
27577207,-1
27580458,-1
27586475,-1
26397223,-1
27598799,-1
27598014,-1
27576334,-1
27588828,-1
27577192,-1
27599733,-1
27594825,-1
27588913,-1
27588063,-1
27604040,-1
27583030,-1
27578134,-1
24718867,-1
230,-1
27583131,-1
27580889,-1
27598345,-1
21119596,-1
27582273,-1
27592588,-1
27577968,-1
27597515,-1
27591976,-1
19602459,-1
27583055,-1
27594814,-1
27580849,-1
27601088,-1
27587850,-1
27578210,-1
27596336,-1
27583002,-1
27598230,-1
27580891,-1
27596486,-1
27586153,-1
27578187,-1
27594707,-1
27581002,-1
27578527,-1
27578450,-1
27579422,-1
27579008,-1
27603805,162
27596232,-1
27601472,-1
27582643,-1
24217577,-1
26574622,-1
27593964,-1
27599483,-1
27579417,-1
27585642,-1
27601924,-1
27589009,-1
27603953,-1
27599865,-1
27589199,-1
27594511,-1
27603960,-1
26486786,-1
27599934,-1
27593357,-1
27603928,-1
27578993,-1
27576696,-1
27602033,-1
27588095,-1
27595378,-1
11505222,-1
27582651,-1
27577422,-1
27584893,-1
27593519,-1
20739657,-1
27589879,-1
27576729,-1
27597772,-1
27596150,-1
27583865,-1
27580331,-1
27589392,-1
27581019,-1
27598719,-1
27582384,-1
27583776,-1
27579292,-1
27603141,-1
27577383,-1
27585866,-1
27582623,-1
27585729,-1
27589976,-1
27586812,-1
27587844,-1
18371219,-1
27597152,-1
27579255,-1
27594424,-1
27587435,-1
27589593,-1
27587187,-1
18478040,-1
27576455,-1
27591125,-1
27578544,-1
27578441,-1
27583270,-1
27593614,-1
27578552,-1
27582036,-1
27582116,-1
27596593,-1
27579193,-1
27581498,-1
27602162,-1
2524381,-1
27599452,-1
27585779,-1
27577953,-1
27590334,-1
27595996,-1
27600589,-1
27578820,-1
27580432,-1
27582710,-1
27593105,-1
27581377,-1
27582702,-1
27595059,-1
20557306,-1
27579349,-1
27584599,-1
27595093,-1
27594979,-1
25265492,162
27304073,162
27598135,-1
27576545,-1
27580539,-1
27600089,-1
20415598,-1
27601232,-1
27589565,-1
27591720,-1
27599517,-1
27579534,-1
27579784,-1
27578265,-1
27581282,-1
27596070,-1
27585088,-1
27580645,-1
27578241,-1
27603399,-1
27593844,-1
17330097,-1
27579543,-1
27581837,-1
27586259,-1
27587368,-1
22434731,-1
27579500,-1
27589559,-1
27592550,-1
27594661,-1
27591237,-1
27588866,-1
27602313,-1
27582566,-1
27589078,-1
27577614,-1
27594593,-1
27577535,-1
27578211,-1
27601819,-1
27587813,-1
27596221,-1
27593957,-1
27577932,-1
27594815,-1
27580101,-1
18235122,-1
27576667,-1
23434733,-1
27593845,-1
22699455,-1
27593982,-1
27601319,-1
27576343,-1
27587303,-1
27579830,-1
27599951,-1
27598353,-1
27592120,-1
27586774,-1
18794099,-1
27580316,-1
27577586,-1
27593929,-1
27582139,-1
27585236,-1
27585865,-1
27589041,-1
27586288,-1
27597737,-1
27580630,-1
27583824,-1
25672916,-1
27594749,-1
27593923,-1
27599101,-1
27581420,-1
27588756,-1
27579580,-1
27593824,-1
27580728,162
27595395,-1
27599481,-1
27588931,-1
27599294,-1
27593168,-1
27591368,-1
27591902,-1
27586929,-1
27578859,-1
27591401,-1
27591776,-1
27598532,-1
27601912,-1
27595828,-1
27578207,-1
27589490,-1
27586299,-1
27602236,-1
27579751,-1
27594925,-1
27594064,-1
26768165,-1
27576906,-1
27600581,-1
27600458,-1
27580679,-1
27582150,-1
27600735,-1
27594807,-1
27594672,-1
27599027,-1
25002028,-1
23066035,-1
27596409,-1
27598217,-1
27579960,-1
27583087,-1
27596702,-1
27580932,-1
27581080,-1
27600023,-1
27587946,-1
27599073,-1
27591393,-1
16454808,-1
27581174,-1
27595637,-1
27600970,-1
27586500,-1
27586314,-1
27598026,-1
27579872,-1
27586134,-1
21796119,-1
25242168,-1
27596057,-1
27602492,-1
27588038,-1
27598965,-1
27594445,162
27590464,-1
27601840,-1
23231951,-1
27601226,-1
27577211,-1
27578609,-1
27577308,-1
27593526,-1
27577889,-1
27581526,-1
27600412,-1
27599224,-1
27581315,-1
27586406,-1
27585314,-1
27600016,-1
27587541,-1
27598130,-1
27583522,-1
27600511,-1
27599186,-1
27579301,-1
27597269,-1
27601952,-1
26125448,-1
27591345,-1
27603274,-1
27591999,-1
27597249,-1
27585773,-1
27582132,-1
27582704,-1
27590747,-1
27587912,-1
27589822,-1
27600554,-1
27598288,-1
27600973,-1
27583660,-1
27583311,-1
27599824,-1
27576687,-1
27592507,-1
23218766,-1
27600522,-1
27576898,-1
27580652,-1
27598500,-1
27596340,-1
27588489,-1
27589487,-1
27576338,-1
27602994,-1
27593544,-1
21716144,-1
18464292,-1
27597467,-1
27600076,-1
27581036,-1
27586843,-1
27585601,-1
27591859,-1
21148487,-1
27590533,-1
27596023,-1
27582111,-1
27587437,-1
11964322,-1
27591006,-1
27578295,-1
27596749,-1
27596616,162
27586684,-1
27591061,-1
27591448,-1
27576785,-1
17603488,-1
27591872,-1
23060591,-1
27580226,-1
27601709,-1
27596244,-1
27598822,-1
27598314,-1
27591853,-1
21467160,-1
27595698,-1
27595060,-1
27602078,-1
27599631,-1
27580384,162
27582167,-1
27587681,-1
27580430,-1
27592197,-1
27576460,-1
27581084,-1
27601041,-1
22425996,-1
27582519,-1
27576942,-1
27589334,-1
27599948,-1
27595774,-1
27603301,-1
27590914,-1
27599092,-1
27601021,-1
27580169,-1
27603305,-1
27586195,-1
27597916,-1
27591801,-1
27591015,-1
27598573,-1
27585915,-1
27581767,-1
27579605,-1
27586648,-1
27600918,-1
27590416,-1
27587454,-1
27585732,-1
27586191,-1
27593594,-1
27583206,-1
27597730,-1
27578109,-1
27587744,-1
27601933,-1
27600841,-1
27591455,-1
27578324,-1
27601000,-1
27580461,-1
26,-1
27601627,-1
27583705,-1
27586766,-1
27599564,-1
27581483,-1
27598466,-1
27585970,-1
27590010,-1
27584052,-1
27599936,-1
27581784,-1
27593604,-1
27590443,-1
27596303,-1
27592023,-1
27602761,-1
27588569,-1
27599855,-1
27596698,-1
27581731,-1
27579227,-1
29668860,-1
27586084,-1
27597281,-1
27601730,-1
27601688,-1
27595019,-1
27588354,-1
27597902,-1
20124459,-1
24915778,-1
27586707,162
27593112,-1
27599699,-1
26549458,-1
27595004,-1
27581868,-1
27581246,-1
27603187,-1
27592441,-1
27580734,-1
27583653,-1
27578169,-1
27578199,-1
27585538,-1
27600373,-1
27585581,-1
27596815,-1
27148695,-1
27590170,-1
26807188,-1
27581608,-1
27594890,-1
27581031,-1
27601091,-1
27581841,-1
27591277,-1
27599708,-1
23171796,-1
27579425,-1
27585412,-1
27603923,-1
27603592,-1
27580119,-1
27584732,-1
27600435,-1
27597883,-1
27602961,-1
27598646,-1
27602136,-1
27578498,-1
27593952,-1
27582331,-1
25587029,-1
27581375,-1
27595558,-1
27595602,-1
27585425,-1
27582687,-1
27588438,-1
27582431,-1
27600718,-1
27582479,-1
27598987,-1
23317446,-1
27600049,-1
27602595,-1
27587715,-1
21972040,-1
27600086,-1
27583785,-1
27589209,-1
27580145,-1
27603112,-1
27596330,-1
27584697,-1
27586209,-1
27601363,-1
27595415,-1
27586969,-1
27595966,-1
27594213,-1
24039832,-1
27591070,-1
27587657,-1
27135740,-1
27579671,-1
27577023,-1
27592185,-1
27599190,-1
27577095,-1
27599586,-1
27593442,-1
27603201,-1
27576846,-1
27602704,-1
27580594,-1
27603403,-1
27586839,-1
27587273,-1
27586773,-1
27599998,-1
27589801,-1
27601993,-1
27585799,-1
19603018,-1
27592117,-1
27588144,-1
19738126,-1
27592527,-1
27603034,-1
27585577,-1
27576337,-1
27581006,-1
27587116,-1
27586797,-1
27577529,-1
27582259,-1
27595005,-1
27581505,-1
27588528,-1
27593462,-1
27581864,-1
27597183,-1
27592467,-1
27600856,-1
27588167,-1
27585682,-1
27588164,-1
27598412,-1
27588456,-1
27599066,162
27579331,-1
27598523,-1
27599765,-1
27594569,-1
27579863,-1
27576318,-1
27579224,-1
27578610,-1
27603382,-1
27596610,-1
27584731,-1
27596222,-1
27597898,-1
27593988,-1
28596308,-1
27591831,-1
27591561,-1
27590311,-1
27600396,-1
27590561,-1
27579230,-1
22056021,-1
27594422,-1
27584964,-1
27595580,-1
27577885,-1
27601950,-1
27603951,-1
23470965,-1
27583670,-1
27586679,-1
27598391,-1
27594339,-1
27598489,-1
27579972,-1
27588248,-1
27598971,-1
27585858,-1
27588196,-1
27589361,-1
27585076,-1
27599279,-1
27602583,-1
27603924,-1
27601927,-1
27596390,-1
27583859,-1
27603796,-1
27370605,-1
27590368,-1
27585548,-1
27581167,-1
28242752,-1
27589942,-1
27597548,-1
8956040,-1
27601160,-1
27598118,-1
27591083,-1
27586467,-1
27592004,-1
20651371,-1
27583869,-1
27579890,-1
27597635,-1
27596225,-1
27586030,-1
27594206,-1
23435830,-1
28351930,-1
27581288,-1
27596304,-1
27602243,-1
490,-1
27596286,-1
27597135,-1
27597551,-1
27596800,-1
28223103,-1
27581942,-1
27576711,-1
27600272,-1
27581851,-1
27590114,-1
27600779,-1
1328859,-1
24256029,-1
27583273,-1
27600634,-1
27595856,-1
27582279,-1
27577270,-1
27588203,-1
27581035,-1
27600838,-1
27583057,-1
27593811,-1
27578177,-1
27597250,-1
27590868,-1
27601507,-1
27593236,-1
27582078,-1
25314964,-1
27577177,-1
27595801,-1
24550739,-1
27599885,-1
25891174,-1
22199315,-1
22399609,-1
27581910,-1
27598168,-1
27598908,-1
21840482,-1
27583973,-1
27577751,162
27585906,-1
27592589,-1
27577441,-1
27584603,-1
27588389,-1
27600738,-1
27586618,-1
27582770,-1
27583817,-1
27586361,-1
27600687,-1
68,-1
27590133,-1
27583467,-1
27592617,-1
27587380,-1
27588142,-1
27598004,-1
27593575,-1
27588849,-1
27580077,-1
27592382,-1
27576440,-1
27589378,-1
27597513,-1
27581150,-1
27600965,-1
27581292,-1
27591531,-1
27591948,-1
27582895,-1
27580650,-1
27580990,-1
27588837,-1
27601065,-1
27577037,-1
27581592,-1
27579908,-1
27594573,-1
27604043,-1
27582752,-1
27592312,-1
27599374,-1
27603909,-1
27587401,-1
27588699,-1
27580930,-1
27577570,-1
19779040,-1
27591226,-1
27597905,-1
27590630,-1
27589709,-1
27596363,-1
27582429,-1
27592351,-1
21444680,-1
22904298,-1
27594775,-1
26027660,-1
27597423,-1
27593463,-1
20697090,-1
27598654,-1
27594991,-1
27602893,-1
27592165,-1
27579147,-1
27599430,-1
27586713,-1
27576328,-1
27595528,-1
27586952,-1
27591136,-1
27603225,-1
27581989,-1
27586239,-1
27598843,-1
26598548,-1
27582319,-1
27600498,-1
27586064,-1
27601228,-1
27596970,-1
27603503,-1
27584872,-1
27599268,-1
16497822,-1
27586603,-1
27582070,-1
27598789,-1
27585192,-1
27592070,-1
27581748,-1
27579752,-1
27601037,-1
24708484,-1
19464396,-1
27598367,-1
27599812,-1
10866302,-1
27590559,-1
27602277,-1
27591437,-1
23674493,-1
27580689,-1
27588030,-1
27580958,-1
27580418,162
27589408,-1
27592542,-1
27602404,-1
27580822,-1
27578276,-1
27579419,-1
27600255,-1
27580493,-1
27583678,-1
27578063,-1
27600129,-1
27596416,-1
27593850,-1
27595107,-1
27591240,-1
27594722,-1
27588136,-1
27577415,-1
27589062,-1
27576896,-1
27595266,-1
27583144,-1
27583656,-1
27987585,-1
27663592,-1
27601123,-1
27588323,-1
27578973,-1
27584797,-1
27578445,-1
27585313,-1
27590583,-1
27596130,-1
27593563,-1
27580667,-1
27592129,-1
27583851,-1
27591693,-1
27592735,-1
27579938,-1
27582106,-1
27603496,-1
27589845,-1
27600252,-1
27588698,-1
27588857,-1
27598124,-1
27595655,-1
27603557,-1
27602326,-1
27588853,-1
27591864,-1
27579328,-1
28218239,-1
27580677,162
27601462,-1
27581448,-1
27596164,-1
27588381,-1
27576348,-1
27597787,162
27598254,-1
27585909,-1
22077063,-1
27598255,-1
27577180,-1
27576601,-1
27578850,-1
27601275,-1
27600853,-1
27589737,-1
27578025,-1
27584977,-1
27592610,-1
27592221,-1
27598302,-1
27580011,-1
27589534,-1
27582543,-1
27588953,-1
27586251,-1
25891174,-1
27596054,-1
27599944,-1
27585635,-1
27600827,-1
27599182,-1
27579820,-1
27602419,-1
27601893,-1
27594286,-1
27598975,-1
27592868,-1
29466156,-1
27588476,-1
27592828,-1
27598635,-1
20421455,-1
27589811,-1
27578788,-1
27585788,-1
27579485,-1
27585418,-1
24469055,-1
27590821,-1
27599223,-1
27598012,-1
27585686,-1
27586330,-1
27583357,-1
27589999,-1
27603786,-1
27592198,-1
27601886,-1
27601437,-1
27583130,-1
27581428,-1
25014773,-1
27586463,-1
27590234,-1
27593259,-1
27600381,-1
27577081,-1
27603753,-1
27598278,-1
27590823,-1
27585963,-1
27578263,-1
25391241,-1
27580617,-1
27591846,-1
27601726,-1
27576448,-1
23900716,-1
27593675,-1
27588534,-1
27582290,-1
26291055,-1
27596420,-1
27593859,-1
27580555,-1
27588150,-1
24387334,-1
27589725,-1
27581143,-1
27577694,-1
27591433,-1
27664533,-1
27594334,-1
27596972,-1
27594152,-1
27600150,-1
27601997,-1
27596555,-1
27591637,-1
27597243,-1
14722919,-1
27588478,-1
27588733,-1
27586436,-1
27592092,-1
27579612,-1
27603561,-1
27591496,-1
27579927,-1
26460303,-1
26771088,-1
27592821,-1
27582478,-1
27600148,-1
27462141,-1
27580300,-1
27580690,-1
27599271,-1
27586981,-1
27585089,-1
27602166,-1
27582365,-1
27596144,-1
26398480,-1
23569304,-1
27596854,-1
27580717,-1
27600630,-1
27590744,-1
27597989,-1
27577317,-1
27598945,-1
27591753,-1
15381060,-1
27581107,-1
27587758,-1
27600849,-1
27592064,-1
27593699,-1
27593825,-1
27578590,-1
27602340,-1
27581754,-1
27585566,-1
27592310,-1
27593089,-1
27577221,-1
27598599,-1
27601731,-1
27598742,-1
18408761,-1
27602029,-1
27603930,-1
27583907,-1
27591227,-1
21575865,-1
27592851,-1
27593827,-1
27600171,-1
27585662,-1
27586728,-1
27579669,-1
27694828,-1
15324695,-1
27596436,-1
27599709,-1
27581715,-1
27586362,-1
27589859,-1
27601296,-1
10617473,-1
27581449,-1
27591067,-1
27602218,-1
27594161,-1
27588954,-1
27584717,-1
27591479,-1
27600651,-1
27595824,-1
27578908,-1
27603019,-1
20944090,-1
27584969,-1
27578409,-1
27581060,-1
27600386,-1
27581745,-1
